;	
;	Town layout
;
;   settlement				followed by name
;	location				world position in metre coords
;	building				followed by building spec list, which has type, offsetx, offsetz, azimuth
building		officers house, 	-72, 	-26, 	90, 	0.7
building		officers house, 	-54, 	-136, 	90, 	0.7
building		officers house, 	90, 	-163, 	90, 	0.7
building		officers house, 	-145, 	-126, 	180, 	0.7
building		officers house, 	-124, 	137, 	-90, 	0.7
building		officers house, 	116, 	134, 	-90, 	0.7
building		officers house, 	-35, 	137, 	0, 	0.7
building		officers house, 	135, 	94, 	0, 	0.7
building		officers house, 	-27, 	42, 	90, 	0.7

building		corner watchtower, 	-192, 	-192,	90, 	0.7
building		corner watchtower, 	192, 	-192, 	0, 	0.7
building		corner watchtower, 	192, 	192, 	-90, 	0.7
building		corner watchtower, 	-192, 	192, 	180, 	0.7

building		double arched gateway, 	0, 	192, 	-90, 	0.7
building		double arched gateway, 	0, 	-192, 	90, 	0.7

building		arched gateway, 	-192, 	16, 	-90, 	0.7
building		arched gateway, 	192, 	16, 	90, 	0.7

building		town wall 32m section, -192, 	-144, 	180, 	0.7
building		town wall 32m section, -192, 	-112, 	180, 	0.7
building		town wall 32m section, -192, 	-80, 	180, 	0.7
building		town wall 32m section, -192, 	-48, 	180, 	0.7
building		town wall 32m section, -192, 	-16, 	180, 	0.7
building		town wall 32m section, -192, 	48, 	180, 	0.7
building		town wall 32m section, -192, 	80, 	180, 	0.7
building		town wall 32m section, -192, 	112, 	180, 	0.7
building		town wall 32m section, -192, 	144, 	180, 	0.7

building		town wall 32m section, 192, 	-144, 	0, 	0.7
building		town wall 32m section, 192, 	-112, 	0, 	0.7
building		town wall 32m section, 192, 	-80, 	0, 	0.7
building		town wall 32m section, 192, 	-48, 	0, 	0.7
building		town wall 32m section, 192, 	-16, 	0, 	0.7
building		town wall 32m section, 192, 	48, 	0, 	0.7
building		town wall 32m section, 192, 	80, 	0, 	0.7
building		town wall 32m section, 192, 	112, 	0, 	0.7
building		town wall 32m section, 192, 	144, 	0, 	0.7

building		town wall 32m section, -144, 	-192, 	90, 	0.7
building		town wall 32m section, -112, 	-192, 	90, 	0.7
building		town wall 32m section, -80, 	-192, 	90, 	0.7
building		town wall 32m section, -48, 	-192, 	90, 	0.7
building		town wall 32m section, 	48, 	-192, 	90, 	0.7
building		town wall 32m section, 	80, 	-192, 	90, 	0.7
building		town wall 32m section, 	112, 	-192, 	90, 	0.7
building		town wall 32m section, 	144, 	-192, 	90, 	0.7

building		town wall 32m section, -144, 	192, 	-90, 	0.7
building		town wall 32m section, -112, 	192, 	-90, 	0.7
building		town wall 32m section, -80, 	192, 	-90, 	0.7
building		town wall 32m section, -48, 	192, 	-90, 	0.7
building		town wall 32m section, 	48, 	192, 	-90, 	0.7
building		town wall 32m section, 	80, 	192, 	-90, 	0.7
building		town wall 32m section, 	112, 	192, 	-90, 	0.7
building		town wall 32m section, 	144, 	192, 	-90, 	0.7

;;;;;;;;;
